Clade	RGB
A	rgb(0.0, 0.0, 255.0)
A.1	rgb(0.160075329566855, 0.0, 254.83992467043313)
A.11	rgb(0.32015065913371, 0.0, 254.6798493408663)
A.12	rgb(0.480225988700565, 0.0, 254.51977401129943)
A.15	rgb(0.64030131826742, 0.0, 254.35969868173257)
A.16	rgb(0.800376647834275, 0.0, 254.19962335216573)
A.17	rgb(0.96045197740113, 0.0, 254.03954802259886)
A.18	rgb(1.1205273069679849, 0.0, 253.87947269303203)
A.19	rgb(1.28060263653484, 0.0, 253.71939736346516)
A.2	rgb(1.440677966101695, 0.0, 253.5593220338983)
A.21	rgb(1.60075329566855, 0.0, 253.39924670433146)
A.22	rgb(1.7608286252354048, 0.0, 253.2391713747646)
A.2.2	rgb(1.92090395480226, 0.0, 253.07909604519773)
A.23	rgb(2.080979284369115, 0.0, 252.9190207156309)
A.2.3	rgb(2.2410546139359697, 0.0, 252.75894538606403)
A.23.1	rgb(2.401129943502825, 0.0, 252.59887005649716)
A.24	rgb(2.56120527306968, 0.0, 252.43879472693033)
A.2.4	rgb(2.721280602636535, 0.0, 252.27871939736346)
A.25	rgb(2.88135593220339, 0.0, 252.11864406779662)
A.2.5	rgb(3.041431261770245, 0.0, 251.95856873822976)
A.2.5.1	rgb(3.2015065913371, 0.0, 251.7984934086629)
A.2.5.2	rgb(3.361581920903955, 0.0, 251.63841807909606)
A.2.5.3	rgb(3.5216572504708097, 0.0, 251.4783427495292)
A.26	rgb(3.681732580037665, 0.0, 251.31826741996232)
A.27	rgb(3.84180790960452, 0.0, 251.1581920903955)
A.28	rgb(4.001883239171375, 0.0, 250.99811676082862)
A.29	rgb(4.16195856873823, 0.0, 250.83804143126176)
A.3	rgb(4.322033898305085, 0.0, 250.67796610169492)
A.30	rgb(4.482109227871939, 0.0, 250.51789077212806)
A.4	rgb(4.642184557438795, 0.0, 250.35781544256122)
A.5	rgb(4.80225988700565, 0.0, 250.19774011299435)
A.6	rgb(4.962335216572505, 0.0, 250.0376647834275)
A.7	rgb(5.12241054613936, 0.0, 249.87758945386065)
A.9	rgb(5.2824858757062145, 0.0, 249.71751412429379)
AA.1	rgb(5.44256120527307, 0.0, 249.55743879472692)
AA.2	rgb(5.602636534839925, 0.0, 249.39736346516008)
AA.3	rgb(5.76271186440678, 0.0, 249.23728813559322)
AA.4	rgb(5.922787193973635, 0.0, 249.07721280602635)
AA.5	rgb(6.08286252354049, 0.0, 248.91713747645952)
AA.6	rgb(6.242937853107345, 0.0, 248.75706214689265)
